No,NPSN,Nama Satuan Pendidikan,Alamat,Kelurahan,Status,Kode Wilayah,Jenis Sekolah,Kecamatan,Alamat Lengkap,Country,Coordinates,Address found,lattitude,Longitude
14,20245747.0,SDN 169 PELITA KOTA BANDUNG,Jl. Desa Cipadung Cibiru,Cipadung,NEGERI,26011,SD,Cibiru,"Jl. Desa Cipadung Cibiru, Kel. Cipadung, Kec. Cibiru, Kota Bandung, Jawa Barat, Indonesia",id,"-6.9239447,107.7194917","Jl. Desa Cipadung, Cipadung, Kec. Cibiru, Kota Bandung, Jawa Barat, Indonesia",-6.9239447,107.7194917
15,20245498.0,SDN 186 CIPADUNG KOTA BANDUNG,"Jl. A.H. Nasution No.71 Km.13,5 Cibiru",Cipadung,NEGERI,26011,SD,Cibiru,"Jl. A.H. Nasution No.71 Km.13,5 Cibiru, Kel. Cipadung, Kec. Cibiru, Kota Bandung, Jawa Barat, Indonesia",id,"-6.930258599999999,107.7125134","Jl. AH. Nasution No.71 5, Cipadung, Kec. Cibiru, Kota Bandung, Jawa Barat 40614, Indonesia",-6.9302586,107.7125134
16,20258124.0,SDN 247 SUKAPURA KOTA BANDUNG,Jl. Manglayang I No.1 Kecamatan Cibiru,Palasari,NEGERI,26011,SD,Cibiru,"Jl. Manglayang I No.1 Kecamatan Cibiru, Kel. Palasari, Kec. Cibiru, Kota Bandung, Jawa Barat, Indonesia",id,"-6.921774099999999,107.7148867","Jl. Manglayang 1 No.1, Palasari, Kec. Cibiru, Kota Bandung, Jawa Barat 40615, Indonesia",-6.9217741,107.7148867
1,70031983.0,SD AL-HUNAFA,Jl. Negla Senang I,Pasanggrahan,SWASTA,26012,SD,Ujungberung,"Jl. Negla Senang I, Kel. Pasanggrahan, Kec. Ujungberung, Kota Bandung, Jawa Barat, Indonesia",id,"-6.9128214,107.7088698","Jl. Negla Senang I, Pasanggrahan, Kec. Ujung Berung, Kota Bandung, Jawa Barat 40617, Indonesia",-6.9128214,107.7088698
2,20247254.0,SD PLUS BAITURRAHMAN,Jl. Prof. KH. M. Syadeli Hasan No. 44 Nagrog II,Pasirjati,SWASTA,26012,SD,Ujungberung,"Jl. Prof. KH. M. Syadeli Hasan No. 44 Nagrog II, Kel. Pasirjati, Kec. Ujungberung, Kota Bandung, Jawa Barat, Indonesia",id,"-6.909814399999999,107.7069118","Jl. Nagrog 2 No.44, Pasirjati, Kec. Ujung Berung, Kota Bandung, Jawa Barat 40618, Indonesia",-6.9098144,107.7069118
3,70038570.0,SD UNGGULAN AL-IZZAH BANDUNG,Jl. Cigending No. 10,Pasir Wangi,SWASTA,26012,SD,Ujungberung,"Jl. Cigending No. 10, Kel. Pasir Wangi, Kec. Ujungberung, Kota Bandung, Jawa Barat, Indonesia",id,"-6.9111458,107.703059","Jl. Cigending No.10, Cigending, Kec. Ujung Berung, Kota Bandung, Jawa Barat 40611, Indonesia",-6.9111458,107.703059
4,20245527.0,SDN 021 CIPOREAT KOTA BANDUNG,Jl. A.H. Nasution No. 29,Pasanggrahan,NEGERI,26012,SD,Ujungberung,"Jl. A.H. Nasution No. 29, Kel. Pasanggrahan, Kec. Ujungberung, Kota Bandung, Jawa Barat, Indonesia",id,"-6.913833,107.702436","Unit Pasar Ujungberung, Jl. AH. Nasution Blok MT No.29, Pasirwangi, Kec. Ujung Berung, Kota Bandung, Jawa Barat 40618, Indonesia",-6.913833,107.702436
5,20245826.0,SDN 036 UJUNGBERUNG KOTA BANDUNG,Jl. Cigending No. 3,Cigending,NEGERI,26012,SD,Ujungberung,"Jl. Cigending No. 3, Kel. Cigending, Kec. Ujungberung, Kota Bandung, Jawa Barat, Indonesia",id,"-6.9132969,107.7021104","Jl. Cigending No.3, Pasirwangi, Kec. Ujung Berung, Kota Bandung, Jawa Barat 40611, Indonesia",-6.9132969,107.7021104
6,20246393.0,SDN 106 AJITUNGGAL CIJAMBE KOTA BANDUNG,Jl. Terusan Sukup Baru No. 5,Pasir Endah,NEGERI,26012,SD,Ujungberung,"Jl. Terusan Sukup Baru No. 5, Kel. Pasir Endah, Kec. Ujungberung, Kota Bandung, Jawa Barat, Indonesia",id,"-6.909150599999999,107.6928017","Jl. Terusan Sukup Baru No.5, Pasir Endah, Kec. Ujung Berung, Kota Bandung, Jawa Barat 40619, Indonesia",-6.9091506,107.6928017
7,20245729.0,SDN 107 PALEDANG KOTA BANDUNG,Jl. Nagrog III No. 8,Pasirjati,NEGERI,26012,SD,Ujungberung,"Jl. Nagrog III No. 8, Kel. Pasirjati, Kec. Ujungberung, Kota Bandung, Jawa Barat, Indonesia",id,"-6.9092372,107.7078113","Jl. Nagrog 3, Pasirjati, Kec. Ujung Berung, Kota Bandung, Jawa Barat, Indonesia",-6.9092372,107.7078113
