8,No,Kecamatan SPPG,Kelurahan/Desa SPPG,Alamat SPPG,Nama SPPG,Lattitude,longitude,.1,.2,.3
,114,UJUNGBERUNG,PASIRWANGI,"Komplek Cinangka Harja Nomor 148 Rt 003 Rw 005, Pasirwangi, Kecamatan Ujungberung, Kota Bandung, Jawa Barat",SPPG Kota Bandung Ujungberung Pasirwangi,-6.9022602,107.705945,,,
,115,LENGKONG,CIJAGRA,"Jl. Cijagra No 73, Cijagra, Lengkong, Kota Bandung, Jawa Barat",SPPG Kota Bandung Lengkong Cijagra 2,-6.9487975,107.6261172,,,
,116,BUAHBATU,MARGASARI,"Jl. Propelat Barat II No .5 , Margasari, Kec. Buahbatu, Kota Bandung, Jawa Barat",SPPG Kota Bandung Buahbatu Margasari 6,-6.9547242,107.6670309,,,
,117,RANCASARI,CIPAMOKOLAN,"Jalan Batu Raden X Nomor 6 RT/006 RW/007, Kelurahan Mekarjaya, Kecamatan Rancasari, Kota Bandung, Provinsi Jawa Barat",SPPG Kota Bandung Rancasari Cipamokolan 2,-6.9662873,107.6669666,,,
,118,BATUNUNGGAL,MALEER,"Jalan Kebon Gedang VIII No. 21/126, Kelurahan Maleer, Kecamatan Batununggal, Kota Bandung, Jawa Barat",SPPG Kota Bandung Batununggal Maleer,-6.9282819,107.6420551,,,
,119,SUKAJADI,PASTEUR,"Jl. Karangsari No 12 Pasteur, Kec. Sukajadi, Kota Bandung, Jawa Barat",SPPG Kota Bandung Sukajadi Pasteur 2,-6.8806328,107.5980173,,,
,120,BANDUNG WETAN,CIHAPIT,"Jl. Mangga No. 29 Kel Cihapit Kec. Bandung Wetan, Kota Bandung Jawa Barat",SPPG Kota Bandung Bandung Wetan Cihapit 2,-6.9131047,107.6301099,,,
,121,COBLONG,SEKELOA,"Jl. Kubang Utara II No.19 Rt.002 / Rw.007, Kel. Sekeloa, Kec. Coblong, Kota Bandung",SPPG Kota Bandung Coblong Lebak Gede 3,-6.8861599,107.6177478,,,
,122,BOJONGLOA KALER,BABAKAN ASIH,Jl. Kopo No. 176 Babakan Asih Bojongloa Kaler Kota Bandung 40232,SPPG Kota Bandung Bojongloa Kaler Babakan Asih,-6.9343645,107.5958424,,,
,123,CIDADAP,HEGARMANAH,"Jl. Budisari VII Nomor 17, Rt 002, Rw 005, Hegarmanah, Cidadap, Kota Bandung, Jawa Barat",SPPG Kota Bandung Cidadap Hegarmanah 2,-6.8734481,107.5972836,,,
,124,ANDIR,DUNGUS CARIANG,Jl Jendral Sudirman no 624. Bandung,SPPG Kota Bandung Andir Dungus Cariang 1,-6.9172444,107.579198,,,
,125,BOJONGLOA KIDUL,SITUSAEUR,"Kawasan Ruko Kav. 22 Muara Duta Regency, Jl. Leuwi Panjang Gg. Leuwi Mukti, Rt.13/Rw.03, Situsaeur, Kecamatan Bojongloa Kidul, Kota Bandung, Jawa Barat",SPPG Kota Bandung Bojongloa Kidul Situsaeur,-6.9397307,107.5971287,,,
,126,CIDADAP,HEGARMANAH,"Jl. Kapten Tendean No.11A Kel. Hegarmanah, Kec. Cidadap, Kota Bandung, Jawa Barat",SPPG Kota Bandung Cidadap Hegarmanah 4,-6.8771336,107.5993832,,,
,127,BANDUNG WETAN,CITARUM,"Jalan Prabudimuntur No. 18 RT 001/RW 004, Kelurahan Citarum, Kecamatan Bandung Wetan, Kota Bandung, Provinsi Jawa Barat",SPPG Kota Bandung Bandung Wetan Citarum,-6.8993849,107.6144028,,,
,128,COBLONG,SEKELOA,"Jalan Tubagus Ismail VIII dalam No. 4 Kelurahan Sekeloa, Kecamatan Coblong, Kota Bandung, Jawa Barat",SPPG Kota Bandung Coblong Sekeloa 2,-6.8837082,107.6218281,,,
,129,GEDEBAGE,RANCABOLANG,"jl. Gedebage Selatan No.25A, Kel. Rancabolang, Kec.Gedebage, Kota Bandung",SPPG Kota Bandung Gedebage Rancabolang 2,-6.9656379,107.6868625,,,
,130,CICENDO,PASIRKALIKI,"Jl. Pajajaran No. 42, Pasir kaliki, Bandung",SPPG Kota Bandung Cicendo Pasirkaliki,-6.9080036,107.6039611,,,
,131,KIARACONDONG,BABAKAN SURABAYA,"Jl. Ibrahim Ajie No.11, Babakan Surabaya, Kec. Kiaracondong, Kota Bandung, Jawa Barat",SPPG Kota Bandung Kiaracondong Babakan Surabaya,-6.9096984,107.6436308,,,
,132,REGOL,PASIRLUYU,"Jl. Sukaati Permai V (5) No 5 Rt 005 Rw 008, Pasirluyu, Kec. Regol, Kota Bandung, Jawa Barat",SPPG Kota Bandung Regol Pasirluyu,-6.9524121,107.6198658,,,
,133,SUKAJADI,SUKAGALIH,Jalan Sukamulya Indah Kav. 11 No. 7,SPPG Kota Bandung Sukajadi Sukagalih 01,-6.8858723,107.5880512,,,
,134,BANDUNG KULON,WARUNG MUNCANG,"Jl. Nana Rohana No.59, Wr. Muncang, Kecamatan Bandung Kulon, Kota Bandung, Jawa Barat",SPPG Kota Bandung Bandung Kulon Warung Muncang 3,-6.9202231,107.5774449,,,
,135,ARCAMANIK,CISARANTEN KULON,"Jl. Cingised No. 123 Rt 02 Rw. 06 Kel. Cisaranten Kulon, Kecamatan Arcamanik, Kota Bandung, Jawa Barat",SPPG Kota Bandung Arcamanik Cisaranten Kulon 4,-6.9288498,107.6766476,,,
,136,BOJONGLOA KIDUL,KEBON LEGA,"Jl. Cibaduyut Dalam 1 No. 11 Kel. Kebonlega, Kecamatan Bojongloa Kidul, Kota Bandung, Jawa Barat",SPPG Kota Bandung Bojongloa Kidul Kebon Lega 2,-6.9502147,107.5975941,,,
,137,CIBEUNYING KALER,CIHAUR GEULIS,"Jl. Cisokan Baru No.12, RT 07/RW 08, Kelurahan Cihaur Geulis, Kecamatan Cibeunying Kaler, Kota Bandung, Provinsi Jawa Barat",SPPG Kota Bandung Cibeunying Kaler Cihaur Geulis,-6.9014166,107.6329307,,,
,138,BUAHBATU,CIJAURA,"Jl. Cijawura Hilir, Jl. Margajati No.40 Rt 05 Rw 11, Cijaura, Kecamatan Buahbatu, Kota Bandung, Jawa Barat",SPPG Kota Bandung Buahbatu Cijaura,-6.9609988,107.6564944,,,
,139,ARCAMANIK,CISARANTEN KULON,"JL.Pirus Galuh III NO 16, cisaranten kulon, kecamatan arcamanik ,kota bandung",SPPG Kota Bandung Arcamanik Cisaranten Kulon 1,-6.9162202,107.6816462,,,
,140,SUKAJADI,SUKAWARNA,"Jl. Lemah Nendeut Komplek Perumnas Kav 77-78 Rt 05 Rw 04 Kel. Sukawarna, Kec. Sukajadi, Kota Bandung, Jawa Barat",SPPG Kota Bandung Sukajadi Sukawarna,-6.8826119,107.5804392,,,
,141,SUKAJADI,PASTEUR,"Jl. Sederhana No 53, Pasteur, Kecamatan Sukajadi, Kota Bandung, Jawa Barat",SPPG Kota Bandung Sukajadi Pasteur,-6.8928969,107.5989041,,,
,142,KIARACONDONG,BABAKAN SARI,"Jalan Babakan Sari III No 1 RT 001/009, Kelurahan Babakan Sari Kecamatan Kiaracondong Kota Bandung, Provinsi Jawa Barat 40283",SPPG Kota Bandung Kiaracondong Babakan Sari,-6.9259673,107.6518627,,,
,143,SUKASARI,GEGERKALONG,"Jl. Dr. Setiabudi No.159, Gegerkalong, Kec. Sukasari, Kota Bandung, Jawa Barat",SPPG Kota Bandung Sukasari Gegerkalong 3,-6.868961,107.5933728,,,
,144,BANDUNG KIDUL,BATUNUNGGAL,"Jl. Batununggal Indah Raya 186, Batununggal, Kecamatan Bandung Kidul, Kota Bandung, Jawa Barat",SPPG Kota Bandung Bandung Kidul Batununggal 4,-6.9548393,107.6306776,,,
,145,KIARACONDONG,BABAKAN SARI,"Jl. Arum Sari IX No.1 Rt 005 Rw 012, Babakansari, Kec. Kiaracondong, Kota Bandung, Jawa Barat",SPPG Kota Bandung Kiaracondong Babakan Sari 2,-6.9253601,107.6542467,,,
,146,SUKASARI,SARIJADI,"Jalan Sariasih No. 54, Kelurahan Sarijadi, Kecamatan Sukasari, Kota Bandung, Provinsi Jawa Barat",SPPG Kota Bandung Sukasari Sarijadi,-6.8731912,107.5760348,,,
,147,CINAMBO,SUKAMULYA,"Jl. Rumah Sakit No 49 Rt 003 Rw 10 Kelurahan Sukamulya, Kecamatan Cinambo, Kota Bandung, Jawa Barat",SPPG Kota Bandung Cinambo Sukamulya,-6.9182807,107.6986681,,,
,148,UJUNGBERUNG,PASANGGRAHAN,"Jalan Bukit Indah Iv, Pasanggrahan, Kecamatan Ujung Berung, Kota Bandung, Jawa Barat",SPPG Kota Bandung Ujungberung Pasanggrahan,-6.9089222,107.7165476,,,
,149,CIBEUNYING KIDUL,CIKUTRA,"Jl. Sukasenang II No.7 Kelurahan Cikutra, Kecamatan Cibeunying Kidul, Kota Bandung, Jawa Barat",SPPG Kota Bandung Cibeunying Kidul Cikutra 4,-6.9004575,107.6365639,,,
,150,BABAKAN CIPARAY,MARGAHAYU UTARA,"Jl. Makam Caringin, Margahayu Utara, Kec. Babakan Ciparay, Kota Bandung, Jawa Barat",SPPG Kota Bandung Babakan Ciparay Margahayu Utara,-6.9501468,107.5817668,,,
,151,SUKASARI,GEGERKALONG,"Jl. Gegerkalong Girang No.80, Gegerkalong, Kec. Sukasari, Kota Bandung, Jawa Barat",SPPG Kota Bandung Sukasari Gegerkalong 2,-6.8634869,107.5889682,,,
,152,KIARACONDONG,KEBON KANGKUNG,"Jl. Soekarno-Hatta No.661, RW.09, Sukapura, Kec. Kiaracondong, Kota Bandung, Jawa Barat 40286",SPPG Kota Bandung Kiaracondong Kebon Kangkung 4,-6.9414553,107.6534051,,,
,153,PANYILEUKAN,CIPADUNG KIDUL,"Perum Bumi Panyileukan Blok B2 Kav 2, Kelurahan Cipadung Kidul, Kecamatan Panyileukan, Kota Bandung, Jawa Barat",SPPG Kota Bandung Panyileukan Cipadung Kidul 2,-6.9357734,107.7123219,,,
,154,BOJONGLOA KALER,KOPO,"Jl. Babakan Tarogong No.85 Kel. Kopo, Kec. Bojongloa Kaler, Kota Bandung, Jawa Barat",SPPG Kota Bandung Bojongloa Kaler Kopo 3,-6.9347967,107.5919973,,,
,155,RANCASARI,MEKARJAYA,"Jl. Ciwastra No. 189 Rt 006 Rw 008, Kel.Mekarjaya, Kec.Rancasari, Kota Bandung",SPPG Kota Bandung Rancasari Mekarjaya 1,-6.9599457,107.6604372,,,
,156,BANDUNG WETAN,TAMAN SARI,"Jl. Cihampelas No.126 A, Tamansari, Kecamatan Bandung Wetan, Kota Bandung, Jawa Barat",SPPG Kota Bandung Bandung Wetan Taman Sari 3,-6.8963567,107.6041008,,,
,157,BUAHBATU,SEKEJATI,"Jl. Cidurian Selatan No. 205, Sekejati, Kec. Buah Batu, Kota Bandung, Jawa Barat",SPPG Kota Bandung Buahbatu Sekejati 2,-6.9446208,107.6520424,,,
,158,BUAHBATU,SEKEJATI,"JL. TERUSAN IBRAHIM ADJIE NO. 19,, SEKEJATI, BUAHBATU, KOTA BANDUNG, JAWA BARAT",SPPG Kota Bandung Buahbatu Sekejati,-6.9483137,107.6419714,,,
,159,BATUNUNGGAL,KEBON WARU,"Jl. Ahmad Yani No. 448, Kota Bandung, Kebonwaru, Kecamatan Batununggal, Kota Bandung, Jawa Barat",SPPG Kota Bandung Batununggal Kebon Waru,-6.9097873,107.6414629,,,
,160,RANCASARI,CIPAMOKOLAN,"Jl. Rancamekar, Cipamokolan, Kecamatan Rancasari, Kota Bandung, Jawa Barat",SPPG Kota Bandung Rancasari Cipamokolan,-6.9405661,107.6794678,,,
,161,ARCAMANIK,SUKAMISKIN,"Jl. Arcamanik Endah, Sukamiskin, Kec. Arcamanik, Kota Bandung, Jawa Barat",SPPG Kota Bandung Arcamanik Sukamiskin 3,-6.9186392,107.6744402,,,
,162,BABAKAN CIPARAY,BABAKAN CIPARAY,"Jl. Caringin No. 45, Babakan Ciparay, Kec. Babakan Ciparay, Kota Bandung, Jawa Barat",SPPG Kota Bandung Babakan Ciparay Babakan Ciparay 3,-6.9434957,107.5778587,,,
,163,ANTAPANI,ANTAPANI TENGAH,"Jl. Terusan Jakarta No.140, Antapani Tengah, Kecamatan Antapani, Kota Bandung, Jawa Barat",SPPG Kota Bandung Antapani Antapani Tengah,-6.9138981,107.6584349,,,
,164,CIBIRU,CIPADUNG,"Jl. Kusuma Utama I No.7A Blok B3, Cipadung, Kec. Cibiru, Kota Bandung, Jawa Barat 40614",SPPG Kota Bandung Cibiru Cipadung,-6.9192644,107.7214888,,,
,165,REGOL,ANCOL,"Jl. Pasirluyu VII No. 11, Kel. Ancol, Kec. Regol, Kota Bandung, Jawa Barat",SPPG Kota Bandung Regol Ancol 3,-6.9401142,107.6171923,,,
,166,REGOL,CISEUREUH,"Jl. Moh Toha 375 Rt. 002 Rw. 007, Ciseureuh, Kecamatan Regol, Kota Bandung, Jawa Barat",SPPG Kota Bandung Regol Ciseureuh 2,-6.9572341,107.6126729,,,
,167,BATUNUNGGAL,GUMURUH,"Jl. Rancamanyar Raya No. 4 Rt.001/ Rw.008 Batununggal Gumuruh, Kota Bandung, Jawa Barat",SPPG Kota Bandung Batununggal Gumuruh 2,-6.9343728,107.6355942,,,
,168,BUAHBATU,MARGASARI,"Jl. Margacinta No.71, Kel. Margasari, Kec. Buahbatu, Kota Bandung, Jawa Barat",SPPG Kota Bandung Buahbatu Margasari 1,-6.954988,107.648892,,,
,169,PANYILEUKAN,CIPADUNG KULON,"Jl. Sukamaju, Cipadung Kulon, Kec. Panyileukan, Kota Bandung, Jawa Barat 40614",SPPG Kota Bandung Panyileukan Cipadung Kulon,-6.9222193,107.7058753,,,
,170,LENGKONG,TURANGGA,"Jl. Kinanti No. 20, TURANGGA, LENGKONG, KOTA BANDUNG, JAWA BARAT",SPPG Kota Bandung Lengkong Turangga 3,-6.9353426,107.6286463,,,
,171,BANDUNG KULON,GEMPOL SARI,"Jalan Dirgantara Raya No.9, Gempolsari, Kec. Bandung Kulon, Kota Bandung, Jawa Barat 40215",SPPG Kota Bandung Bandung Kulon Gempol Sari,-6.9284716,107.55169,,,
,172,ARCAMANIK,SUKAMISKIN,"Jl. Karate No.1, Sukamiskin, Rt 05 rw 10  Arcamanik, Bandung City, West Java 40293",SPPG Kota Bandung Arcamanik Sukamiskin 1,-6.9194009,107.6760344,,,
,173,CIBEUNYING KIDUL,SUKAMAJU,"Jl. Citamiang No.61, Sukamaju, Kec. Cibeunying Kidul, Kota Bandung, Jawa Barat",SPPG Kota Bandung Cibeunying Kidul Sukamaju 2,-6.9074494,107.6347973,,,
,174,BANDUNG KULON,CIGONDEWAH KALER,"Jl. Cigondewah Kaler No 30, Kelurahan Cigondewah Kaler, Kecamatan Bandung Kulon, Kota Bandung, Jawa Barat",SPPG Kota Bandung Bandung Kulon Cigondewah Kaler,-6.9399067,107.5574469,,,
,175,MANDALAJATI,PASIR IMPUN,"Jl. At Taqwa I, Pasir Impun, Kec. Mandalajati, Kota Bandung, Jawa Barat",SPPG Kota Bandung Mandalajati Pasir Impun 2,-6.8947114,107.6782137,,,
,176,BABAKAN CIPARAY,MARGAHAYU UTARA,"Jl. Azalea Rt 01 Rw 11, Kel. Margahayu Utara, Kecamatan Babakan Ciparay, Kota Bandung, Jawa Barat",SPPG Kota Bandung Babakan Ciparay Margahayu Utara 3,-6.948104,107.5771334,,,
,177,BOJONGLOA KIDUL,MEKAR WANGI,"Jl. Ratnasari No.9, Kebon Lega, Kecamatan Bojongloa Kidul, Kota Bandung, Jawa Barat",SPPG Kota Bandung Bojongloa Kidul Kebon Lega,-6.9451278,107.6015371,,,
,178,SUKASARI,SARIJADI,"Jl. Sarimanah 2 No 70, Kelurahan Sarijadi, Kecamatan Sukasari, Kota Bandung, Jawa Barat",SPPG Kota Bandung Sukasari Sarijadi 3,-6.877424,107.576899,,,
,179,COBLONG,CIPAGANTI,"Jl. Dr. Slamet No.55 Kel. Cipaganti, Kecamatan Coblong, Kota Bandung, Jawa Barat",SPPG Kota Bandung Coblong Cipaganti 2,-6.8961434,107.602876,,,
,180,BATUNUNGGAL,CIBANGKONG,"Jl. Cibangkong No.15, Cibangkong, Kecamatan Batununggal, Kota Bandung, Jawa Barat",SPPG Kota Bandung Batununggal Cibangkong,-6.9238892,107.631101,,,
,181,BOJONGLOA KALER,KOPO,"Gang H. Abdul Hasan Kecamatan Bojongloa Kaler Kel. Kopo, Kota Bandung, Jawa Barat",SPPG Kota Bandung Bojongloa Kaler Kopo,-6.9384703,107.5864459,,,
,182,ANDIR,MALEBER,"Jl Elang no.37 RT/RW 03/11, Kelurahan Maleber, Kecamatan Andir, Kota Bandung",SPPG Kota Bandung Andir Maleber,-6.9150428,107.5734003,,,
,183,GEDEBAGE,RANCANUMPANG,"Jl. Rancanumpang, Rancanumpang, Kecamatan Gedebage, Kota Bandung, Jawa Barat",SPPG Kota Bandung Gedebage Rancanumpang,-6.9611485,107.7051918,,,
,184,ARCAMANIK,CISARANTEN ENDAH,"Jl. Arcamanik Endah No.129, Cisaranten Endah, Kec. Arcamanik, Kota Bandung, Jawa Barat",SPPG Kota Bandung Arcamanik Cisaranten Endah 2,-6.9227887,107.669389,,,
,185,ANTAPANI,ANTAPANI KIDUL,"Jalan Sukanagara no.1, Antapani Kidul, Antapani, Kota Bandung, Provinsi Jawa Barat",SPPG Kota Bandung Antapani Antapani Kidul 2,-6.9197542,107.6575473,,,
,186,ASTANA ANYAR,KARASAK,Jalan Karasak Utara IV No 14 Kelurahan Karasak,SPPG Kota Bandung Astana Anyar Karasak 1,-6.9470457,107.6045698,,,
,187,BUAHBATU,MARGASARI,"Jl. Ciapagalo Girang No 226 , MARGASARI, BUAHBATU, KOTA BANDUNG, JAWA BARAT",SPPG Kota Bandung Buahbatu Margasari 2,-6.9520874,107.6482718,,,
,188,BANDUNG WETAN,TAMAN SARI,"Jl. Tamansari Bawah No.3, Rt 01 Rw 20, Tamansari, Bandung Wetan, Kota Bandung, Jawa Barat",SPPG Kota Bandung Bandung Wetan Taman Sari,-6.9037266,107.6074276,,,
,189,LENGKONG,PALEDANG,"Jl. Lengkong Kecil No.60B Rt 01 Rw 03 Paledang, Kecamatan Lengkong, Kota Bandung, Jawa Barat",SPPG Kota Bandung Lengkong Paledang,-6.923757,107.6154515,,,
,190,CIBIRU,PASIR BIRU,"Jl. Raya Cibiru No.28, Pasir Biru, Kecamatan Cibiru, Kota Bandung, Jawa Barat",SPPG Kota Bandung Cibiru Pasir Biru,-6.9328859,107.7219786,,,
,191,CIBEUNYING KIDUL,CIKUTRA,"Jl. Sukasenang V No. 31, Cikutra,Cibeunying Kidul, Kota Bandung, Jawa Barat",SPPG Kota Bandung Cibeunying Kidul Cikutra,-6.8998744,107.6354279,,,
,192,KIARACONDONG,KEBON KANGKUNG,"Jl. H.Ibrahim Adjie No 465 Rt 003/011 Kel. Kebon Kangkung, Kecamatan Kiaracondong, Kota Bandung, Jawa Barat",SPPG Kota Bandung Kiaracondong Kebon Kangkung 3,-6.9434142,107.6422436,,,
,193,BANDUNG KULON,WARUNG MUNCANG,"Jl. Suryani No.26, Warung Muncang, Bandung Kulon, Kota Bandung, Jawa Barat",SPPG Kota Bandung Bandung Kulon Warung Muncang 2,-6.921061,107.580608,,,
,194,BUAHBATU,MARGASARI,"Jl. H. Adnan Jl. H. Mukti No.1, Margasari, Kecamatan Buahbatu, Kota Bandung, Jawa Barat",SPPG Kota Bandung Buahbatu Margasari 5,-6.9611099,107.6670342,,,
,195,ANTAPANI,ANTAPANI KULON,"Jl. Antapani Lama No.6, Antapani Kulon, Kecamatan Antapani, Kota Bandung, Jawa Barat",SPPG Kota Bandung Antapani Antapani Kulon 2,-6.908205,107.6572216,,,
,196,BANDUNG KULON,CIBUNTU,"Jl. Holis No 34B, Cibuntu, Kec. Bandung Kulon, Kota Bandung, Jawa Barat",SPPG Kota Bandung Bandung Kulon Cibuntu,-6.9198299,107.5756361,,,
,197,LENGKONG,LINGKAR SELATAN,"Jl Salak No 2, Kel Lingkar Selatan., Kec. Lengkong, Kota Bandung",SPPG Kota Bandung Lengkong Lingkar Selatan,-6.9288134,107.6345096,,,
,198,BUAHBATU,MARGASARI,"Jl. Margacinta No. 93, Kel. Margasari, Kecamatan Buah Batu, Kota Bandung, Jawa Barat",SPPG Kota Bandung Buahbatu Margasari 4,-6.95492,107.6509354,,,
,199,COBLONG,DAGO,"Jl. Ir. H. Juanda 345, Dago, Kecamatan Coblong, Kota Bandung, Jawa Barat",SPPG Kota Bandung Coblong Dago 2,-6.8748607,107.618741,,,
,200,ANTAPANI,ANTAPANI KULON,"Jl. Terusan Jakarta No. 143 Bandung, ANTAPANI KULON, ANTAPANI, KOTA BANDUNG, JAWA BARAT",SPPG Kota Bandung Antapani Antapani Kulon,-6.912387,107.6557156,,,
,201,COBLONG,DAGO,"Jl. Ir H. Juanda No. 438 A Kel. Dago, Kec. Coblong, Kota Bandung, Jawa Barat",SPPG Kota Bandung Coblong Dago,-6.8698541,107.6205869,,,
,202,SUKASARI,ISOLA,"Jl. Sersan Bajuri No.99, Kel. Isola, Kecamatan Sukasari, Kota Bandung, Jawa Barat",SPPG Kota Bandung Sukasari Isola 2,-6.8497291,107.5907373,,,
,203,REGOL,ANCOL,"Jl. Ancol Timur Xiv No 24, Ancol, Regol, Kota Bandung, Jawa Barat",SPPG Kota Bandung Regol Ancol 2,-6.93702,107.617578,,,
,204,ASTANA ANYAR,PANJUNAN,"Jl. Pabaki No. 29, RT.003 / RW.004",SPPG Kota Bandung Astana Anyar Panjunan,-6.927392,107.5962179,,,
,205,ANTAPANI,ANTAPANI WETAN,"Terusan Jl. Jakarta No. 233A, Antapani Wetan, Kec. Antapani, Kota Bandung, Jawa Barat",SPPG Kota Bandung Antapani Antapani Wetan,-6.9163929,107.6680947,,,
,206,MANDALAJATI,SINDANG JAYA,"Jl. Moch Syahri No 12  RT.02 RW.02, Sindang Jaya, Mandalajati, Kota Bandung, Jawa Barat",SPPG Kota Bandung Mandalajati Sindang Jaya 2,-6.9007983,107.681624,,,
,207,CIBEUNYING KALER,CIGADUNG,Jl. Kasungka no. 3,SPPG Kota Bandung Cibeunying Kaler Cigadung,-6.875087,107.6279605,,,
,208,KIARACONDONG,SUKAPURA,"Jl. Cidurian Utara No.70 RT.06 RW.13 Kelurahan Sukapura, Kecamatan Kiaracondong, Kota Bandung, Jawa Barat",SPPG Kota Bandung Kiaracondong Sukapura 1,-6.9354346,107.6548469,,,
,209,CIBIRU,CISURUPAN,Jl.Pasir Luhur Rt 03 RW 10 Kel.Cisurupan Kec.Cibiru Bandung,SPPG Kota Bandung Cibiru Cisurupan,-6.9019388,107.7292527,,,
,210,COBLONG,SADANG SERANG,"Jl. Surapati Nomor 49A Desa/Kelurahan Sadang Serang, Kec. Coblong, Kota Bandung, Provinsi Jawa Barat",SPPG Kota Bandung Coblong Sadang Serang,-6.8990968,107.6193093,,,
,211,LENGKONG,CIJAGRA,"Jl. Hm Zamzam No. 2, Rt 07 Rw 03, Kel. Cijagra, Kec. Lengkong, Kota Bandung, Jawa Barat",SPPG Kota Bandung Lengkong Cijagra 5,-6.9475799,107.6262898,,,
,212,BANDUNG WETAN,CIHAPIT,"Jl. Pulolaut No. 36, Kel. Cihapit, Kecamatan Bandung Wetan, Kota Bandung, Jawa Barat",SPPG Kota Bandung Bandung Wetan Cihapit 3,-6.9091782,107.6231579,,,
,213,BANDUNG KULON,WARUNG MUNCANG,"Jl. Nana Rohana No. 51, Warung Muncang, Kecamatan Bandung Kulon, Kota Bandung, Jawa Barat",SPPG Kota Bandung Bandung Kulon Warung Muncang 5,-6.9210865,107.577333,,,
,214,ARCAMANIK,CISARANTEN KULON,"Jl. Permata Bumi, Cisaranten Kulon, Kec. Arcamanik, Kota Bandung, Jawa Barat",SPPG Kota Bandung Arcamanik Cisaranten Kulon 2,-6.9203433,107.6825697,,,
,215,COBLONG,SEKELOA,"Jl. Sekeloa Utara No. 29, Kelurahan Sekeloa, Kecamatan Coblong, Kota Bandung, Provinsi Jawa Barat 40134",SPPG Kota Bandung Coblong Sekeloa 1,-6.8879355,107.619227,,,
,216,CIBEUNYING KALER,CIHAUR GEULIS,"Jl. Pahlaawan No.21, Cihaurgeulis, Kec. Cibeunying Kaler, Kota Bandung, Jawa Barat",SPPG Kota Bandung Cibeunying Kaler Cihaur Geulis 2,-6.899985,107.6343613,,,
,217,CIBEUNYING KIDUL,CIKUTRA,"Jl. Bekamin No 20, Kel. Cikutra, Kecamatan Cibeunying Kidul, Kota Bandung, Jawa Barat",SPPG Kota Bandung Cibeunying Kidul Cikutra 3,-6.9014346,107.6414158,,,
,218,BANDUNG KULON,CARINGIN,"Jl. Holis Permai I No 7 Rt 004 Rw 004, Kel. Caringin, Kecamatan Bandung Kulon, Kota Bandung, Jawa Barat",SPPG Kota Bandung Bandung Kulon Caringin,-6.9355354,107.5703248,,,
,219,KIARACONDONG,KEBON JAYANTI,"Jl. Kebon Jayanti No 19/134B, Kebun Jayanti, Kecamatan Kiaracondong, Kota Bandung, Jawa Barat",SPPG Kota Bandung Kiaracondong Kebon Jayanti,-6.9269526,107.6462981,,,
,220,CIBEUNYING KIDUL,CICADAS,"Jl. Brigjen Katamso Kel. Cicadas, Kec. Cibeunying Kidul, Kota Bandung, Jawa Barat",SPPG Kota Bandung Cibeunying Kidul Cicadas,-6.8967665,107.6309562,,,
,221,BANDUNG KIDUL,BATUNUNGGAL,"Jl. Sekelimus Barat No 2, Kel. Batununggal, Kecamatan Bandung Kidul, Kota Bandung, Jawa Barat",SPPG Kota Bandung Bandung Kidul Batununggal 3,-6.9479642,107.635938,,,
,222,BATUNUNGGAL,KACAPIRING,"JL. Gumuruh NO 1 RT 01 RW 05 Kel Gumuruh, Kec Batununggal Kota Bandung, Jawa Barat 40275",SPPG Kota Bandung Batununggal Kacapiring,-6.930327,107.639162,,,
,223,CIDADAP,HEGARMANAH,"Jl. Hegarmanah No.15 No. 9, Hegarmanah, Cidadap, Bandung City, West Java 12630",SPPG Kota Bandung Cidadap Hegarmanah,-6.8806831,107.6011788,,,
,224,CICENDO,PASIRKALIKI,"Jl. Sumanta Nomor 7, Pasir Kaliki, Cicendo, Kota Bandung, Provinsi Jawa Barat",SPPG Kota Bandung Cicendo Pasirkaliki 2,-6.9086038,107.5983049,,,
,225,CIBEUNYING KIDUL,CIKUTRA,"Jl. Sukasenang V Nomor 20 004/015, Cikutra, Kecamatan Cibeunying Kidul, Kota Bandung, Jawa Barat",SPPG Kota Bandung Cibeunying Kidul Cikutra 2,-6.8999016,107.6355362,,,
,226,CIBIRU,CIPADUNG,"Jl. Moch Damin No.1, Cipadung, Kec. Cibiru, Kota Bandung, Jawa Barat",SPPG Kota Bandung Cibiru Cipadung 3,-6.9227381,107.7197562,,,
,227,SUKASARI,GEGERKALONG,"Jl. Pak Gatot Raya, Gegerkalong, Kecamatan Sukasari, Kota Bandung, Jawa Barat",SPPG Kota Bandung Sukasari Gegerkalong 4,-6.8656675,107.5872366,,,
,228,BABAKAN CIPARAY,CIRANGRANG,"Jalan Raya Kopo No.533, RT 003, RW 003, Kelurahan Cirangrang, Kecamatan Babakan Ciparay, Kota Bandung, Provinsi Jawa Barat",SPPG Kota Bandung Babakan Ciparay Cirangrang,-6.9554394,107.5834041,,,
,229,KIARACONDONG,KEBON KANGKUNG,"Jl. Terusan Gatot Subroto No. 469, Kebon Kangkung, Kiaracondong, Kota Bandung, Jawa Barat",SPPG Kota Bandung Kiaracondong Kebon Kangkung 2,-6.9320884,107.6439232,,,
,230,BANDUNG WETAN,CIHAPIT,"Jl. Brantas No. 30A, Cihapit, Kecamatan Bandung Wetan, Kota Bandung",SPPG Kota Bandung Bandung Wetan Cihapit,-6.9071828,107.6246479,,,
