_geojson,No,Kecamatan SPPG,Kelurahan/Desa SPPG,Alamat SPPG,Nama SPPG,Lattitude,longitude,<img>,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11
"{""type"":""Feature"",""geometry"":{""type"":""Polygon"",""coordinates"":[[[107.61703,-6.892894],[107.616798,-6.89821],[107.616045,-6.903477],[107.61478,-6.908646],[107.613014,-6.913665],[107.610764,-6.918488],[107.608052,-6.923066],[107.604903,-6.927358],[107.601349,-6.93132],[107.597423,-6.934915],[107.593164,-6.938108],[107.588611,-6.940868],[107.58381,-6.943169],[107.578806,-6.944989],[107.573648,-6.94631],[107.568385,-6.94712],[107.563068,-6.947409],[107.557748,-6.947177],[107.552476,-6.946425],[107.547304,-6.94516],[107.54228,-6.943394],[107.537454,-6.941145],[107.532872,-6.938433],[107.528578,-6.935286],[107.524614,-6.931734],[107.521017,-6.92781],[107.517822,-6.923553],[107.51506,-6.919003],[107.512758,-6.914205],[107.510938,-6.909204],[107.509617,-6.904049],[107.508807,-6.89879],[107.508518,-6.893476],[107.508752,-6.88816],[107.509505,-6.882892],[107.510772,-6.877724],[107.512539,-6.872704],[107.51479,-6.867882],[107.517504,-6.863303],[107.520653,-6.859013],[107.524208,-6.855051],[107.528134,-6.851457],[107.532393,-6.848264],[107.536945,-6.845505],[107.541746,-6.843204],[107.546749,-6.841385],[107.551907,-6.840065],[107.557169,-6.839256],[107.562485,-6.838967],[107.567804,-6.839199],[107.573074,-6.839952],[107.578245,-6.841217],[107.583267,-6.842983],[107.588092,-6.845232],[107.592673,-6.847943],[107.596967,-6.851089],[107.600931,-6.854641],[107.604527,-6.858565],[107.607722,-6.862821],[107.610484,-6.86737],[107.612786,-6.872168],[107.614607,-6.877168],[107.615929,-6.882322],[107.616739,-6.887581],[107.61703,-6.892894]]]},""properties"":{""No"":38,""Kecamatan SPPG"":""CICENDO"",""Kelurahan/Desa SPPG"":""SUKARAJA"",""Alamat SPPG"":""Jl. Kartamiharja 9 , Sukaraja, Cicendo, Kota Bandung, Jawa Barat"",""Nama SPPG"":""SPPG Kota Bandung Cicendo Sukaraja"",""Lattitude"":-6.8931881,""longitude"":107.5627752,""<img>-tooltip"":""https://asset.kompas.com/crops/BVr74cETaZdERlVXHj4ploXzglE=/0x0:0x0/1200x800/data/photo/2025/05/14/68242bc4c5d3f.jpg"",""Unnamed: 8"":null,""Unnamed: 9"":null,""Unnamed: 10"":null,""Unnamed: 11"":null}}",38,CICENDO,SUKARAJA,"Jl. Kartamiharja 9 , Sukaraja, Cicendo, Kota Bandung, Jawa Barat",SPPG Kota Bandung Cicendo Sukaraja,-6.8931881,107.5627752,https://asset.kompas.com/crops/BVr74cETaZdERlVXHj4ploXzglE=/0x0:0x0/1200x800/data/photo/2025/05/14/68242bc4c5d3f.jpg,,,,
"{""type"":""Feature"",""geometry"":{""type"":""Polygon"",""coordinates"":[[[107.64365,-6.911244],[107.643418,-6.916559],[107.642666,-6.921827],[107.641401,-6.926995],[107.639635,-6.932015],[107.637385,-6.936837],[107.634673,-6.941416],[107.631525,-6.945708],[107.627971,-6.94967],[107.624046,-6.953265],[107.619786,-6.956458],[107.615234,-6.959219],[107.610433,-6.961521],[107.605429,-6.963341],[107.600271,-6.964662],[107.595008,-6.965472],[107.58969,-6.965762],[107.58437,-6.96553],[107.579099,-6.964778],[107.573926,-6.963513],[107.568902,-6.961748],[107.564076,-6.959499],[107.559494,-6.956788],[107.555199,-6.953642],[107.551234,-6.95009],[107.547637,-6.946166],[107.544442,-6.941909],[107.54168,-6.93736],[107.539377,-6.932562],[107.537557,-6.927561],[107.536235,-6.922407],[107.535426,-6.917147],[107.535136,-6.911834],[107.535369,-6.906518],[107.536122,-6.90125],[107.537389,-6.896082],[107.539156,-6.891062],[107.541407,-6.88624],[107.54412,-6.881661],[107.547268,-6.87737],[107.550823,-6.873408],[107.554749,-6.869814],[107.559008,-6.866621],[107.56356,-6.863861],[107.568361,-6.861561],[107.573364,-6.859741],[107.578522,-6.85842],[107.583784,-6.857611],[107.5891,-6.857322],[107.594419,-6.857554],[107.599689,-6.858306],[107.604861,-6.859571],[107.609883,-6.861336],[107.614708,-6.863585],[107.61929,-6.866296],[107.623583,-6.869442],[107.627547,-6.872993],[107.631144,-6.876916],[107.634339,-6.881172],[107.637102,-6.885721],[107.639405,-6.890518],[107.641226,-6.895518],[107.642548,-6.900672],[107.643359,-6.905931],[107.64365,-6.911244]]]},""properties"":{""No"":39,""Kecamatan SPPG"":""CICENDO"",""Kelurahan/Desa SPPG"":""HUSEIN SASTRANEGARA"",""Alamat SPPG"":""Jl. Komodor Udara Supadio No.42 Rt.06 Rw.06 Jatayu, Kelurahan Husein Sastranegara, Kecamatan Cicendo, Kota Bandung, Jawa Barat"",""Nama SPPG"":""SPPG Kota Bandung Cicendo Husein Sastranegara 5"",""Lattitude"":-6.9115419,""longitude"":107.589394,""<img>-tooltip"":""https://asset.kompas.com/crops/BVr74cETaZdERlVXHj4ploXzglE=/0x0:0x0/1200x800/data/photo/2025/05/14/68242bc4c5d3f.jpg"",""Unnamed: 8"":null,""Unnamed: 9"":null,""Unnamed: 10"":null,""Unnamed: 11"":null}}",39,CICENDO,HUSEIN SASTRANEGARA,"Jl. Komodor Udara Supadio No.42 Rt.06 Rw.06 Jatayu, Kelurahan Husein Sastranegara, Kecamatan Cicendo, Kota Bandung, Jawa Barat",SPPG Kota Bandung Cicendo Husein Sastranegara 5,-6.9115419,107.589394,https://asset.kompas.com/crops/BVr74cETaZdERlVXHj4ploXzglE=/0x0:0x0/1200x800/data/photo/2025/05/14/68242bc4c5d3f.jpg,,,,
"{""type"":""Feature"",""geometry"":{""type"":""Polygon"",""coordinates"":[[[107.652022,-6.918395],[107.651791,-6.92371],[107.651039,-6.928978],[107.649774,-6.934146],[107.648008,-6.939166],[107.645759,-6.943988],[107.643047,-6.948567],[107.639899,-6.952859],[107.636345,-6.956821],[107.632419,-6.960416],[107.62816,-6.963609],[107.623608,-6.96637],[107.618807,-6.968672],[107.613803,-6.970492],[107.608644,-6.971814],[107.603381,-6.972623],[107.598064,-6.972914],[107.592744,-6.972682],[107.587472,-6.97193],[107.582299,-6.970665],[107.577276,-6.9689],[107.572449,-6.966652],[107.567867,-6.963941],[107.563572,-6.960794],[107.559607,-6.957242],[107.55601,-6.953319],[107.552815,-6.949062],[107.550052,-6.944513],[107.54775,-6.939715],[107.545929,-6.934715],[107.544607,-6.92956],[107.543798,-6.924301],[107.543508,-6.918987],[107.543741,-6.913671],[107.544494,-6.908403],[107.54576,-6.903235],[107.547527,-6.898215],[107.549778,-6.893393],[107.552491,-6.888814],[107.55564,-6.884523],[107.559194,-6.880562],[107.56312,-6.876967],[107.567379,-6.873774],[107.571931,-6.871014],[107.576732,-6.868713],[107.581735,-6.866894],[107.586893,-6.865573],[107.592155,-6.864764],[107.597471,-6.864474],[107.60279,-6.864706],[107.60806,-6.865458],[107.613232,-6.866723],[107.618254,-6.868488],[107.62308,-6.870737],[107.627661,-6.873447],[107.631955,-6.876593],[107.635919,-6.880145],[107.639516,-6.884068],[107.642711,-6.888324],[107.645474,-6.892872],[107.647777,-6.897669],[107.649598,-6.902669],[107.650921,-6.907823],[107.651731,-6.913082],[107.652022,-6.918395]]]},""properties"":{""No"":40,""Kecamatan SPPG"":""ANDIR"",""Kelurahan/Desa SPPG"":""KEBON JERUK"",""Alamat SPPG"":""Jl. Kebon Tangkil No. 11, Kebon Jeruk, Kecamatan Andir, Kota Bandung, Jawa Barat"",""Nama SPPG"":""SPPG Kota Bandung Andir Kebon Jeruk"",""Lattitude"":-6.918694,""longitude"":107.5977663,""<img>-tooltip"":""https://asset.kompas.com/crops/BVr74cETaZdERlVXHj4ploXzglE=/0x0:0x0/1200x800/data/photo/2025/05/14/68242bc4c5d3f.jpg"",""Unnamed: 8"":null,""Unnamed: 9"":null,""Unnamed: 10"":null,""Unnamed: 11"":null}}",40,ANDIR,KEBON JERUK,"Jl. Kebon Tangkil No. 11, Kebon Jeruk, Kecamatan Andir, Kota Bandung, Jawa Barat",SPPG Kota Bandung Andir Kebon Jeruk,-6.918694,107.5977663,https://asset.kompas.com/crops/BVr74cETaZdERlVXHj4ploXzglE=/0x0:0x0/1200x800/data/photo/2025/05/14/68242bc4c5d3f.jpg,,,,
"{""type"":""Feature"",""geometry"":{""type"":""Polygon"",""coordinates"":[[[107.634218,-6.903692],[107.633987,-6.909008],[107.633234,-6.914275],[107.631969,-6.919444],[107.630203,-6.924463],[107.627954,-6.929286],[107.625241,-6.933865],[107.622093,-6.938156],[107.618539,-6.942118],[107.614614,-6.945713],[107.610354,-6.948906],[107.605802,-6.951667],[107.601001,-6.953968],[107.595997,-6.955788],[107.590839,-6.957109],[107.585576,-6.957919],[107.580258,-6.958209],[107.574938,-6.957977],[107.569667,-6.957225],[107.564494,-6.95596],[107.55947,-6.954195],[107.554644,-6.951946],[107.550062,-6.949235],[107.545768,-6.946088],[107.541803,-6.942536],[107.538206,-6.938612],[107.535011,-6.934355],[107.532249,-6.929806],[107.529946,-6.925007],[107.528126,-6.920007],[107.526805,-6.914852],[107.525995,-6.909593],[107.525706,-6.904279],[107.525939,-6.898963],[107.526692,-6.893695],[107.527959,-6.888527],[107.529726,-6.883507],[107.531977,-6.878685],[107.53469,-6.874106],[107.537839,-6.869815],[107.541394,-6.865854],[107.54532,-6.862259],[107.549579,-6.859067],[107.554131,-6.856307],[107.558932,-6.854006],[107.563935,-6.852187],[107.569092,-6.850866],[107.574355,-6.850058],[107.579671,-6.849768],[107.584989,-6.85],[107.59026,-6.850753],[107.595431,-6.852018],[107.600453,-6.853783],[107.605278,-6.856032],[107.60986,-6.858743],[107.614153,-6.861889],[107.618117,-6.865441],[107.621714,-6.869364],[107.624909,-6.87362],[107.627671,-6.878169],[107.629974,-6.882966],[107.631795,-6.887966],[107.633117,-6.89312],[107.633928,-6.898379],[107.634218,-6.903692]]]},""properties"":{""No"":41,""Kecamatan SPPG"":""CICENDO"",""Kelurahan/Desa SPPG"":""HUSEIN SASTRANEGARA"",""Alamat SPPG"":""Kawasan Produksi-1 Bandara Husein Sastranegara, Jalan Pajajaran, Kelurahan Husein Sastranegara, Kecamatan Cicendo, Kota Bandung, Jawa Barat"",""Nama SPPG"":""SPPG Kota Bandung Cicendo Husein Sastranegara 4"",""Lattitude"":-6.9039886,""longitude"":107.5799633,""<img>-tooltip"":""https://asset.kompas.com/crops/BVr74cETaZdERlVXHj4ploXzglE=/0x0:0x0/1200x800/data/photo/2025/05/14/68242bc4c5d3f.jpg"",""Unnamed: 8"":null,""Unnamed: 9"":null,""Unnamed: 10"":null,""Unnamed: 11"":null}}",41,CICENDO,HUSEIN SASTRANEGARA,"Kawasan Produksi-1 Bandara Husein Sastranegara, Jalan Pajajaran, Kelurahan Husein Sastranegara, Kecamatan Cicendo, Kota Bandung, Jawa Barat",SPPG Kota Bandung Cicendo Husein Sastranegara 4,-6.9039886,107.5799633,https://asset.kompas.com/crops/BVr74cETaZdERlVXHj4ploXzglE=/0x0:0x0/1200x800/data/photo/2025/05/14/68242bc4c5d3f.jpg,,,,
"{""type"":""Feature"",""geometry"":{""type"":""Polygon"",""coordinates"":[[[107.63836,-6.862982],[107.638128,-6.868298],[107.637376,-6.873565],[107.636111,-6.878733],[107.634345,-6.883753],[107.632095,-6.888575],[107.629383,-6.893154],[107.626235,-6.897445],[107.622681,-6.901407],[107.618756,-6.905002],[107.614497,-6.908195],[107.609945,-6.910956],[107.605144,-6.913257],[107.600141,-6.915077],[107.594983,-6.916398],[107.58972,-6.917208],[107.584403,-6.917498],[107.579084,-6.917266],[107.573812,-6.916513],[107.56864,-6.915248],[107.563617,-6.913483],[107.558792,-6.911234],[107.55421,-6.908523],[107.549916,-6.905376],[107.545952,-6.901823],[107.542355,-6.8979],[107.53916,-6.893643],[107.536399,-6.889093],[107.534097,-6.884295],[107.532276,-6.879294],[107.530955,-6.87414],[107.530146,-6.86888],[107.529857,-6.863567],[107.53009,-6.858251],[107.530843,-6.852983],[107.53211,-6.847814],[107.533877,-6.842795],[107.536128,-6.837972],[107.538841,-6.833394],[107.54199,-6.829103],[107.545544,-6.825142],[107.54947,-6.821547],[107.553729,-6.818355],[107.558281,-6.815595],[107.563081,-6.813295],[107.568084,-6.811475],[107.573241,-6.810155],[107.578502,-6.809346],[107.583818,-6.809057],[107.589136,-6.809289],[107.594406,-6.810042],[107.599577,-6.811307],[107.604599,-6.813072],[107.609424,-6.815321],[107.614004,-6.818032],[107.618297,-6.821179],[107.622261,-6.82473],[107.625858,-6.828653],[107.629052,-6.83291],[107.631814,-6.837459],[107.634116,-6.842256],[107.635937,-6.847256],[107.637259,-6.85241],[107.638069,-6.857669],[107.63836,-6.862982]]]},""properties"":{""No"":42,""Kecamatan SPPG"":""SUKASARI"",""Kelurahan/Desa SPPG"":""GEGERKALONG"",""Alamat SPPG"":""Jl. Abadi I No.31, Gegerkalong, Kec. Sukasari, Kota Bandung, Jawa Barat 40153"",""Nama SPPG"":""SPPG Kota Bandung Sukasari Gegerkalong 1"",""Lattitude"":-6.8632773,""longitude"":107.5841095,""<img>-tooltip"":""https://asset.kompas.com/crops/BVr74cETaZdERlVXHj4ploXzglE=/0x0:0x0/1200x800/data/photo/2025/05/14/68242bc4c5d3f.jpg"",""Unnamed: 8"":null,""Unnamed: 9"":null,""Unnamed: 10"":null,""Unnamed: 11"":null}}",42,SUKASARI,GEGERKALONG,"Jl. Abadi I No.31, Gegerkalong, Kec. Sukasari, Kota Bandung, Jawa Barat 40153",SPPG Kota Bandung Sukasari Gegerkalong 1,-6.8632773,107.5841095,https://asset.kompas.com/crops/BVr74cETaZdERlVXHj4ploXzglE=/0x0:0x0/1200x800/data/photo/2025/05/14/68242bc4c5d3f.jpg,,,,
"{""type"":""Feature"",""geometry"":{""type"":""Polygon"",""coordinates"":[[[107.676536,-6.946341],[107.676305,-6.951657],[107.675553,-6.956924],[107.674289,-6.962092],[107.672523,-6.967112],[107.670274,-6.971935],[107.667562,-6.976514],[107.664414,-6.980805],[107.660861,-6.984768],[107.656935,-6.988363],[107.652676,-6.991557],[107.648124,-6.994318],[107.643323,-6.99662],[107.638319,-6.99844],[107.63316,-6.999762],[107.627897,-7.000572],[107.62258,-7.000863],[107.617259,-7.000632],[107.611987,-6.99988],[107.606814,-6.998616],[107.60179,-6.996851],[107.596963,-6.994603],[107.592381,-6.991893],[107.588086,-6.988746],[107.58412,-6.985195],[107.580522,-6.981272],[107.577327,-6.977015],[107.574564,-6.972466],[107.572261,-6.967669],[107.570439,-6.962668],[107.569118,-6.957514],[107.568308,-6.952255],[107.568017,-6.946942],[107.56825,-6.941626],[107.569003,-6.936358],[107.570268,-6.931189],[107.572035,-6.92617],[107.574286,-6.921347],[107.576998,-6.916769],[107.580147,-6.912478],[107.583701,-6.908516],[107.587627,-6.904921],[107.591886,-6.901728],[107.596438,-6.898968],[107.601239,-6.896666],[107.606242,-6.894847],[107.6114,-6.893525],[107.616662,-6.892716],[107.621979,-6.892426],[107.627298,-6.892657],[107.632569,-6.893409],[107.63774,-6.894673],[107.642763,-6.896438],[107.647589,-6.898686],[107.65217,-6.901396],[107.656465,-6.904542],[107.660429,-6.908093],[107.664027,-6.912016],[107.667223,-6.916271],[107.669985,-6.92082],[107.672289,-6.925617],[107.674111,-6.930616],[107.675434,-6.93577],[107.676245,-6.941028],[107.676536,-6.946341]]]},""properties"":{""No"":43,""Kecamatan SPPG"":""LENGKONG"",""Kelurahan/Desa SPPG"":""CIJAGRA"",""Alamat SPPG"":""Jalan Suryalaya Xii No. 21, Cijagra, Lengkong, Kota Bandung, Jawa Barat"",""Nama SPPG"":""SPPG Kota Bandung Lengkong Cijagra 3"",""Lattitude"":-6.9466444,""longitude"":107.6222779,""<img>-tooltip"":""https://asset.kompas.com/crops/BVr74cETaZdERlVXHj4ploXzglE=/0x0:0x0/1200x800/data/photo/2025/05/14/68242bc4c5d3f.jpg"",""Unnamed: 8"":null,""Unnamed: 9"":null,""Unnamed: 10"":null,""Unnamed: 11"":null}}",43,LENGKONG,CIJAGRA,"Jalan Suryalaya Xii No. 21, Cijagra, Lengkong, Kota Bandung, Jawa Barat",SPPG Kota Bandung Lengkong Cijagra 3,-6.9466444,107.6222779,https://asset.kompas.com/crops/BVr74cETaZdERlVXHj4ploXzglE=/0x0:0x0/1200x800/data/photo/2025/05/14/68242bc4c5d3f.jpg,,,,
"{""type"":""Feature"",""geometry"":{""type"":""Polygon"",""coordinates"":[[[107.739119,-6.919237],[107.738888,-6.924552],[107.738137,-6.929819],[107.736873,-6.934988],[107.735109,-6.940007],[107.73286,-6.94483],[107.730149,-6.949409],[107.727002,-6.953701],[107.723449,-6.957663],[107.719525,-6.961259],[107.715266,-6.964453],[107.710715,-6.967214],[107.705915,-6.969517],[107.700911,-6.971338],[107.695754,-6.97266],[107.690491,-6.973471],[107.685174,-6.973762],[107.679854,-6.973531],[107.674583,-6.97278],[107.66941,-6.971517],[107.664386,-6.969753],[107.65956,-6.967505],[107.654977,-6.964795],[107.650683,-6.96165],[107.646717,-6.958099],[107.643119,-6.954177],[107.639923,-6.949921],[107.63716,-6.945372],[107.634857,-6.940575],[107.633035,-6.935575],[107.631713,-6.930421],[107.630902,-6.925162],[107.630612,-6.919849],[107.630844,-6.914534],[107.631596,-6.909266],[107.632861,-6.904098],[107.634627,-6.899078],[107.636877,-6.894256],[107.639588,-6.889677],[107.642736,-6.885386],[107.64629,-6.881424],[107.650215,-6.877829],[107.654473,-6.874635],[107.659024,-6.871875],[107.663824,-6.869573],[107.668827,-6.867753],[107.673984,-6.866431],[107.679245,-6.865621],[107.684561,-6.86533],[107.68988,-6.865561],[107.69515,-6.866312],[107.700321,-6.867576],[107.705344,-6.86934],[107.710169,-6.871588],[107.714751,-6.874297],[107.719045,-6.877442],[107.72301,-6.880993],[107.726607,-6.884914],[107.729803,-6.88917],[107.732566,-6.893717],[107.73487,-6.898514],[107.736692,-6.903513],[107.738015,-6.908666],[107.738827,-6.913924],[107.739119,-6.919237]]]},""properties"":{""No"":44,""Kecamatan SPPG"":""ARCAMANIK"",""Kelurahan/Desa SPPG"":""SUKAMISKIN"",""Alamat SPPG"":""Jl. Cisaranten Kulon No. 91 Kec. Arcamanik Kota Bandung Jawa Barat"",""Nama SPPG"":""SPPG Kota Bandung Arcamanik Sukamiskin"",""Lattitude"":-6.9195462,""longitude"":107.6848664,""<img>-tooltip"":""https://asset.kompas.com/crops/BVr74cETaZdERlVXHj4ploXzglE=/0x0:0x0/1200x800/data/photo/2025/05/14/68242bc4c5d3f.jpg"",""Unnamed: 8"":null,""Unnamed: 9"":null,""Unnamed: 10"":null,""Unnamed: 11"":null}}",44,ARCAMANIK,SUKAMISKIN,Jl. Cisaranten Kulon No. 91 Kec. Arcamanik Kota Bandung Jawa Barat,SPPG Kota Bandung Arcamanik Sukamiskin,-6.9195462,107.6848664,https://asset.kompas.com/crops/BVr74cETaZdERlVXHj4ploXzglE=/0x0:0x0/1200x800/data/photo/2025/05/14/68242bc4c5d3f.jpg,,,,
"{""type"":""Feature"",""geometry"":{""type"":""Polygon"",""coordinates"":[[[107.78086,-6.904153],[107.78063,-6.909468],[107.77988,-6.914735],[107.778616,-6.919904],[107.776852,-6.924923],[107.774604,-6.929746],[107.771894,-6.934325],[107.768747,-6.938617],[107.765195,-6.94258],[107.761271,-6.946175],[107.757013,-6.949369],[107.752462,-6.952131],[107.747662,-6.954434],[107.74266,-6.956255],[107.737502,-6.957578],[107.73224,-6.958389],[107.726924,-6.958681],[107.721604,-6.95845],[107.716333,-6.9577],[107.71116,-6.956437],[107.706137,-6.954673],[107.701311,-6.952426],[107.696728,-6.949717],[107.692433,-6.946572],[107.688468,-6.943021],[107.68487,-6.939099],[107.681674,-6.934843],[107.678911,-6.930295],[107.676607,-6.925498],[107.674785,-6.920499],[107.673463,-6.915345],[107.672652,-6.910087],[107.672361,-6.904774],[107.672592,-6.899458],[107.673344,-6.894191],[107.674608,-6.889023],[107.676374,-6.884003],[107.678623,-6.879181],[107.681334,-6.874602],[107.684482,-6.87031],[107.688035,-6.866348],[107.691959,-6.862753],[107.696217,-6.859559],[107.700768,-6.856799],[107.705567,-6.854497],[107.710569,-6.852676],[107.715726,-6.851354],[107.720987,-6.850544],[107.726302,-6.850252],[107.731621,-6.850483],[107.736891,-6.851234],[107.742062,-6.852497],[107.747084,-6.854261],[107.751909,-6.856508],[107.756491,-6.859217],[107.760785,-6.862362],[107.764749,-6.865912],[107.768347,-6.869833],[107.771543,-6.874088],[107.774306,-6.878635],[107.77661,-6.883431],[107.778433,-6.88843],[107.779756,-6.893583],[107.780568,-6.898841],[107.78086,-6.904153]]]},""properties"":{""No"":45,""Kecamatan SPPG"":""CIBIRU"",""Kelurahan/Desa SPPG"":""CISURUPAN"",""Alamat SPPG"":""KP. CISURUPAN RT 005 RW 002, CISURUPAN, CIBIRU, KOTA BANDUNG JAWA BARAT"",""Nama SPPG"":""SPPG Kota Bandung Cibiru Cisurupan 2"",""Lattitude"":-6.9044666,""longitude"":107.7266117,""<img>-tooltip"":""https://asset.kompas.com/crops/BVr74cETaZdERlVXHj4ploXzglE=/0x0:0x0/1200x800/data/photo/2025/05/14/68242bc4c5d3f.jpg"",""Unnamed: 8"":null,""Unnamed: 9"":null,""Unnamed: 10"":null,""Unnamed: 11"":null}}",45,CIBIRU,CISURUPAN,"KP. CISURUPAN RT 005 RW 002, CISURUPAN, CIBIRU, KOTA BANDUNG JAWA BARAT",SPPG Kota Bandung Cibiru Cisurupan 2,-6.9044666,107.7266117,https://asset.kompas.com/crops/BVr74cETaZdERlVXHj4ploXzglE=/0x0:0x0/1200x800/data/photo/2025/05/14/68242bc4c5d3f.jpg,,,,
"{""type"":""Feature"",""geometry"":{""type"":""Polygon"",""coordinates"":[[[107.627773,-6.929411],[107.627541,-6.934727],[107.626789,-6.939994],[107.625524,-6.945163],[107.623758,-6.950182],[107.621508,-6.955005],[107.618796,-6.959584],[107.615647,-6.963875],[107.612093,-6.967837],[107.608167,-6.971433],[107.603908,-6.974626],[107.599355,-6.977386],[107.594554,-6.979688],[107.58955,-6.981508],[107.584391,-6.982829],[107.579128,-6.983639],[107.57381,-6.983929],[107.56849,-6.983697],[107.563218,-6.982945],[107.558045,-6.98168],[107.553021,-6.979915],[107.548194,-6.977666],[107.543612,-6.974955],[107.539317,-6.971808],[107.535352,-6.968256],[107.531755,-6.964332],[107.52856,-6.960075],[107.525797,-6.955526],[107.523495,-6.950727],[107.521674,-6.945727],[107.520353,-6.940572],[107.519543,-6.935313],[107.519254,-6.929999],[107.519487,-6.924683],[107.52024,-6.919415],[107.521507,-6.914247],[107.523274,-6.909227],[107.525525,-6.904405],[107.528238,-6.899826],[107.531388,-6.895535],[107.534942,-6.891573],[107.538869,-6.887979],[107.543128,-6.884787],[107.547681,-6.882027],[107.552482,-6.879726],[107.557485,-6.877906],[107.562643,-6.876586],[107.567905,-6.875777],[107.573222,-6.875487],[107.578541,-6.87572],[107.583811,-6.876472],[107.588983,-6.877737],[107.594006,-6.879502],[107.598831,-6.881751],[107.603413,-6.884462],[107.607706,-6.887608],[107.611671,-6.89116],[107.615268,-6.895083],[107.618463,-6.899339],[107.621225,-6.903888],[107.623528,-6.908685],[107.62535,-6.913685],[107.626672,-6.918839],[107.627482,-6.924098],[107.627773,-6.929411]]]},""properties"":{""No"":46,""Kecamatan SPPG"":""BANDUNG KULON"",""Kelurahan/Desa SPPG"":""WARUNG MUNCANG"",""Alamat SPPG"":""Jl. Holis 147, Warung Muncang, Bandung Kulon, Kota Bandung, Jawa Barat"",""Nama SPPG"":""SPPG Kota Bandung Bandung Kulon Warung Muncang"",""Lattitude"":-6.9297082,""longitude"":107.5735146,""<img>-tooltip"":""https://asset.kompas.com/crops/BVr74cETaZdERlVXHj4ploXzglE=/0x0:0x0/1200x800/data/photo/2025/05/14/68242bc4c5d3f.jpg"",""Unnamed: 8"":null,""Unnamed: 9"":null,""Unnamed: 10"":null,""Unnamed: 11"":null}}",46,BANDUNG KULON,WARUNG MUNCANG,"Jl. Holis 147, Warung Muncang, Bandung Kulon, Kota Bandung, Jawa Barat",SPPG Kota Bandung Bandung Kulon Warung Muncang,-6.9297082,107.5735146,https://asset.kompas.com/crops/BVr74cETaZdERlVXHj4ploXzglE=/0x0:0x0/1200x800/data/photo/2025/05/14/68242bc4c5d3f.jpg,,,,
"{""type"":""Feature"",""geometry"":{""type"":""Polygon"",""coordinates"":[[[107.617532,-6.900296],[107.617299,-6.905612],[107.616547,-6.91088],[107.615282,-6.916048],[107.613516,-6.921068],[107.611266,-6.92589],[107.608553,-6.930469],[107.605405,-6.93476],[107.601851,-6.938722],[107.597925,-6.942317],[107.593665,-6.94551],[107.589113,-6.948271],[107.584312,-6.950572],[107.579308,-6.952392],[107.57415,-6.953713],[107.568886,-6.954522],[107.563569,-6.954812],[107.558249,-6.95458],[107.552977,-6.953828],[107.547805,-6.952563],[107.542781,-6.950797],[107.537955,-6.948548],[107.533373,-6.945836],[107.529079,-6.94269],[107.525114,-6.939137],[107.521517,-6.935213],[107.518322,-6.930956],[107.51556,-6.926407],[107.513258,-6.921608],[107.511438,-6.916608],[107.510117,-6.911453],[107.509308,-6.906193],[107.509018,-6.90088],[107.509252,-6.895563],[107.510005,-6.890296],[107.511272,-6.885127],[107.513039,-6.880107],[107.51529,-6.875285],[107.518004,-6.870707],[107.521153,-6.866416],[107.524708,-6.862454],[107.528634,-6.85886],[107.532893,-6.855668],[107.537446,-6.852908],[107.542246,-6.850607],[107.54725,-6.848788],[107.552407,-6.847468],[107.557669,-6.846659],[107.562985,-6.84637],[107.568304,-6.846602],[107.573575,-6.847355],[107.578746,-6.84862],[107.583768,-6.850386],[107.588593,-6.852635],[107.593174,-6.855346],[107.597468,-6.858492],[107.601432,-6.862044],[107.605029,-6.865967],[107.608223,-6.870224],[107.610985,-6.874773],[107.613288,-6.87957],[107.615109,-6.88457],[107.616431,-6.889724],[107.617241,-6.894983],[107.617532,-6.900296]]]},""properties"":{""No"":47,""Kecamatan SPPG"":""ANDIR"",""Kelurahan/Desa SPPG"":""CAMPAKA"",""Alamat SPPG"":""Jl. Raya Cimindi No.88, Campaka, Kecamatan Andir, Kota Bandung, Jawa Barat"",""Nama SPPG"":""SPPG Kota Bandung Andir Campaka 2"",""Lattitude"":-6.900591,""longitude"":107.5632761,""<img>-tooltip"":""https://asset.kompas.com/crops/BVr74cETaZdERlVXHj4ploXzglE=/0x0:0x0/1200x800/data/photo/2025/05/14/68242bc4c5d3f.jpg"",""Unnamed: 8"":null,""Unnamed: 9"":null,""Unnamed: 10"":null,""Unnamed: 11"":null}}",47,ANDIR,CAMPAKA,"Jl. Raya Cimindi No.88, Campaka, Kecamatan Andir, Kota Bandung, Jawa Barat",SPPG Kota Bandung Andir Campaka 2,-6.900591,107.5632761,https://asset.kompas.com/crops/BVr74cETaZdERlVXHj4ploXzglE=/0x0:0x0/1200x800/data/photo/2025/05/14/68242bc4c5d3f.jpg,,,,
